Feuchtigkeit	SHT21	DPS310
%	C	C
22.39	28.54	27.74
22.47	28.52	27.69
22.55	28.50	27.69
22.67	28.49	27.69
22.87	28.47	27.64
23.3	28.45	27.62
23.18	28.41	27.62
23.38	28.40	27.57
23.54	28.38	27.57
23.73	28.36	27.55
23.82	28.35	27.48
23.86	28.33	27.48
23.86	28.32	27.46
23.77	28.30	27.44
23.73	28.29	27.44
23.66	28.26	27.42
23.60	28.24	27.42
23.56	28.23	27.42
23.56	28.21	27.36
23.56	28.21	27.36
23.52	28.19	27.32
23.52	28.18	27.30
23.48	28.16	27.30
23.44	28.15	27.29
23.44	28.13	27.25
23.40	28.11	27.25
23.40	28.10	27.23
23.36	28.9	27.23
23.32	28.8	27.21
23.26	28.6	27.17
23.26	28.5	27.17
23.22	28.5	27.15
23.19	28.4	27.11
23.19	28.3	27.11
23.15	28.1	27.11
23.19	28.0	27.11
23.19	27.98	27.6
23.22	27.96	27.4
23.26	27.95	27.4
23.26	27.94	27.2
23.31	27.92	27.0
23.31	27.91	27.0
23.29	27.91	26.98
23.29	27.89	26.98
23.29	27.88	26.96
23.25	27.87	26.92
23.25	27.86	26.92
23.25	27.85	26.90
23.21	27.83	26.88
23.17	27.82	26.88
23.13	27.81	26.87
23.13	27.79	26.84
23.9	27.78	26.84
23.9	27.77	26.79
23.9	27.76	26.79
23.8	27.75	26.77
23.8	27.73	26.76
23.12	27.72	26.76
23.15	27.70	26.76
23.15	27.68	26.73
23.19	27.68	26.73
23.19	27.68	26.69
23.23	27.66	26.69
23.28	27.65	26.68
23.31	27.64	26.65
23.35	27.62	26.65
23.39	27.61	26.61
23.55	27.60	26.61
23.71	27.59	26.61
23.89	27.58	26.57
24.5	27.56	26.57
24.18	27.56	26.53
24.22	27.53	26.51
24.18	27.52	26.51
24.18	27.51	26.46
24.18	27.50	26.46
24.18	27.49	26.46
24.14	27.48	26.43
24.10	27.47	26.44
24.5	27.46	26.44
24.5	27.45	26.40
24.5	27.44	26.40
24.2	27.44	26.36
24.2	27.43	26.36
24.2	27.43	26.36
24.2	27.42	26.35
24.0	27.41	26.34
24.0	27.39	26.34
24.0	27.38	26.30
23.96	27.37	26.30
23.96	27.36	26.28
23.93	27.36	26.29
23.93	27.35	26.29
23.93	27.34	26.26
23.88	27.33	26.25
23.88	27.33	26.25
23.84	27.33	26.21
23.84	27.31	26.18
23.84	27.30	26.18
23.84	27.30	26.22
23.80	27.28	26.22
23.84	27.27	26.18
23.84	27.26	26.19
23.84	27.24	26.19
23.84	27.23	26.12
23.84	27.23	26.15
23.83	27.22	26.15
23.83	27.23	26.13
23.88	27.27	26.13
23.88	27.22	26.13
23.83	27.21	26.10
23.83	27.19	26.10
23.83	27.20	26.10
23.83	27.19	26.6
23.83	27.19	26.6
23.83	27.20	26.3
23.83	27.16	26.3
23.83	27.14	26.3
23.86	27.16	26.0
23.86	27.17	26.0
23.83	27.12	26.0
23.83	27.11	25.97
23.83	27.9	25.97
23.83	27.8	25.97
23.83	27.9	25.92
23.83	27.9	25.92
23.86	27.9	25.92
23.83	27.6	25.92
23.86	27.6	25.93
23.85	27.5	25.90
23.86	27.7	25.90
23.91	27.7	25.90
23.89	27.6	25.90
23.89	27.4	25.90
23.89	27.2	25.86
23.89	27.2	25.86
23.89	27.1	25.85
23.89	26.98	25.86
23.89	26.96	25.86
23.89	26.94	25.85
23.89	26.94	25.83
23.93	26.97	25.83
23.97	26.94	25.84
23.97	26.93	25.80
24.1	26.97	25.80
24.1	26.96	25.79
24.1	26.89	25.79
23.99	26.90	25.81
23.99	26.88	25.78
24.5	26.91	25.78
24.5	26.91	25.76
24.9	26.92	25.75
24.8	26.91	25.75
24.13	26.89	25.75
24.12	26.88	25.75
24.17	26.91	25.73
24.15	26.86	25.72
24.15	26.83	25.72
24.19	26.85	25.72
24.24	26.82	25.72
24.24	26.80	25.72
24.28	26.79	25.70
24.28	26.79	25.70
24.31	26.78	25.68
24.31	26.80	25.68
24.35	26.77	25.68
24.35	26.77	25.68
24.40	26.77	25.66
24.44	26.80	25.66
24.47	26.84	25.64
24.47	26.82	25.64
24.47	26.78	25.64
24.47	26.77	25.62
24.44	26.76	25.62
24.47	26.74	25.61
24.47	26.74	25.65
24.47	26.76	25.65
24.47	26.73	25.61
24.46	26.71	25.60
24.47	26.71	25.60
24.46	26.72	25.58
24.46	26.71	25.58
24.46	26.70	25.55
24.41	26.70	25.57
24.41	26.69	25.57
24.41	26.68	25.56
24.41	26.69	25.55
24.41	26.74	25.55
24.40	26.74	25.56
24.41	26.74	25.55
24.41	26.72	25.55
24.41	26.69	25.52
24.46	26.70	25.52
24.46	26.67	25.53
24.46	26.65	25.53
24.46	26.67	25.53
24.46	26.70	25.49
24.50	26.68	25.51
24.51	26.71	25.51
24.46	26.63	25.49
24.46	26.68	25.49
24.46	26.62	25.47
24.46	26.62	25.49
24.46	26.63	25.49
24.46	26.62	25.46
24.46	26.61	25.45
24.46	26.60	25.45
24.46	26.61	25.46
24.46	26.60	25.46
24.46	26.60	25.46
24.46	26.59	25.44
24.46	26.59	25.44
24.46	26.59	25.44
24.46	26.58	25.41
24.46	26.60	25.41
24.50	26.61	25.42
24.50	26.57	25.40
24.48	26.57	25.40
24.48	26.55	25.41
24.50	26.56	25.41
24.48	26.56	25.37
24.48	26.53	25.37
24.48	26.53	25.37
24.48	26.53	25.34
24.52	26.53	25.35
24.52	26.52	25.35
24.56	26.50	25.35
24.56	26.48	25.34
24.56	26.47	25.34
24.56	26.47	25.34
24.60	26.49	25.34
24.82	26.55	25.34
24.92	26.49	25.32
25.4	26.50	25.32
25.37	26.52	25.31
26.31	26.49	25.28
27.3	26.44	25.28
27.59	26.43	25.26
27.86	26.45	25.26
27.98	26.44	25.25
28.6	26.42	25.28
28.6	26.41	25.28
28.2	26.42	25.24
27.98	26.43	25.25
27.90	26.44	25.25
27.79	26.43	25.24
27.63	26.43	25.24
27.47	26.43	25.24
27.34	26.43	25.24
27.19	26.43	25.24
